v = 39
7 38 4
7 39 8
7 40 4
7 41 8
7 42 6
7 43 10
7 44 2
7 45 6
7 46 7
7 47 5
8 9 3
8 10 8
8 11 8
8 12 7
8 13 7
8 14 5
8 15 8
8 16 8
8 17 7
8 18 8
8 19 6
8 20 8
8 21 10
8 22 7
8 23 6
8 24 8
8 25 4
8 26 8
8 27 8
8 28 7
8 29 9
8 30 9
8 31 3
8 32 4
8 33 9
8 34 8
8 35 5
8 36 6
8 37 8
8 38 4
8 39 8
8 40 9
8 41 6
8 42 6
8 43 5
8 44 5
8 45 6
8 46 10
8 47 2
9 10 8
9 11 7
9 12 10
9 13 10
9 14 6
9 15 6
9 16 8
9 17 8
9 18 6
9 19 6
9 20 8
9 21 12
9 22 8
9 23 6
9 24 9
9 25 5
9 26 8
9 27 8
9 28 9
9 29 7
9 30 8
9 31 6
9 32 6
9 33 8
9 34 7
9 35 2
9 36 7
9 37 8
9 38 7
9 39 5
9 40 8
9 41 3
9 42 8
9 43 5
9 44 8
9 45 8
9 46 10
9 47 5
10 11 5
10 12 8
10 13 7
10 14 6
10 15 5
10 16 6
10 17 4
10 18 3
10 19 2
10 20 2
10 21 6
10 22 6
10 23 4
10 24 7
10 25 6
10 26 2
10 27 3
10 28 7
10 29 5
10 30 3
10 31 9
10 32 5
10 33 5
10 34 6
10 35 8
10 36 5
10 37 6
10 38 4
10 39 5
10 40 4
10 41 5
10 42 6
10 43 7
10 44 6
10 45 6
10 46 2
10 47 7
11 12 12
11 13 11
11 14 5
11 15 7
11 16 9
11 17 7
11 18 8
11 19 6
11 20 6
11 21 9
11 22 7
11 23 6
11 24 7
11 25 5
11 26 7
11 27 6
11 28 6
11 29 5
11 30 7
11 31 6
11 32 8
11 33 9
11 34 9
11 35 8
11 36 4
11 37 7
11 38 4
11 39 6
11 40 7
11 41 4
11 42 6
11 43 4
11 44 8
11 45 7
11 46 7
11 47 7
12 13 5
12 14 11
12 15 9
12 16 8
12 17 10
12 18 5
12 19 10
12 20 8
12 21 12
12 22 12
12 23 7
12 24 10
12 25 9
12 26 9
12 27 7
12 28 10
12 29 9
12 30 9
12 31 10
12 32 9
12 33 3
12 34 11
12 35 12
12 36 9
12 37 12
12 38 8
12 39 10
12 40 7
12 41 10
12 42 8
12 43 12
12 44 8
12 45 9
12 46 9
12 47 9
13 14 8
13 15 6
13 16 7
13 17 9
13 18 4
13 19 9
13 20 9
13 21 11
13 22 9
13 23 6
13 24 6
13 25 8
13 26 8
13 27 6
13 28 9
13 29 8
13 30 8
13 31 7
13 32 8
13 33 2
13 34 10
13 35 11
13 36 11
13 37 11
13 38 7
13 39 11
13 40 6
13 41 9
13 42 7
13 43 8
13 44 9
13 45 8
13 46 8
13 47 9
14 15 6
14 16 8
14 17 7
14 18 8
14 19 5
14 20 6
14 21 10
14 22 2
14 23 6
14 24 6
14 25 5
14 26 8
14 27 7
14 28 7
14 29 6
14 30 8
14 31 6
14 32 5
14 33 8
14 34 9
14 35 8
14 36 5
14 37 8
14 38 3
14 39 5
14 40 8
14 41 3
14 42 7
14 43 5
14 44 6
14 45 7
14 46 8
14 47 3
15 16 7
15 17 5
15 18 5
15 19 3
15 20 5
15 21 6
15 22 7
15 23 6
15 24 5
15 25 8
15 26 7
15 27 7
15 28 8
15 29 6
15 30 2
15 31 7
15 32 8
15 33 7
15 34 8
15 35 8
15 36 5
15 37 6
15 38 4
15 39 5
15 40 4
15 41 3
15 42 6
15 43 5
15 44 5
15 45 7
15 46 7
15 47 8
16 17 2
16 18 7
16 19 4
16 20 7
16 21 7
16 22 10
16 23 6
16 24 5
16 25 4
16 26 6
16 27 7
16 28 8
16 29 7
16 30 7
16 31 8
16 32 5
16 33 5
16 34 6
16 35 7
16 36 5
16 37 7
16 38 6
16 39 7
16 40 7
16 41 5
16 42 3
16 43 7
16 44 4
16 45 4
16 46 8
16 47 6
17 18 6
17 19 2
17 20 6
17 21 7
17 22 8
17 23 6
17 24 5
17 25 5
17 26 4
17 27 6
17 28 7
17 29 5
17 30 7
17 31 8
17 32 4
17 33 7
17 34 4
17 35 8
17 36 7
17 37 7
17 38 4
17 39 7
17 40 6
17 41 5
17 42 3
17 43 6
17 44 2
17 45 2
17 46 6
17 47 5
18 19 5
18 20 5
18 21 9
18 22 8
18 23 2
18 24 6
18 25 4
18 26 4
18 27 2
18 28 5
18 29 4
18 30 6
18 31 9
18 32 4
18 33 2
18 34 8
18 35 7
18 36 8
18 37 8
18 38 7
18 39 7
18 40 6
18 41 5
18 42 6
18 43 7
18 44 7
18 45 6
18 46 4
18 47 6
19 20 4
19 21 6
19 22 6
19 23 6
19 24 5
19 25 7
19 26 4
19 27 4
19 28 5
19 29 3
19 30 5
19 31 7
19 32 6
19 33 7
19 34 6
19 35 8
19 36 7
19 37 8
19 38 2
19 39 5
19 40 6
19 41 3
19 42 5
19 43 5
19 44 4
19 45 4
19 46 4
19 47 7
20 21 4
20 22 4
20 23 6
20 24 6
20 25 7
20 26 4
20 27 5
20 28 9
20 29 7
20 30 5
20 31 8
20 32 6
20 33 7
20 34 7
20 35 6
20 36 6
20 37 4
20 38 5
20 39 3
20 40 3
20 41 5
20 42 4
20 43 6
20 44 4
20 45 7
20 46 4
20 47 7
21 22 8
21 23 10
21 24 6
21 25 8
21 26 8
21 27 9
21 28 9
21 29 8
21 30 8
21 31 8
21 32 6
21 33 9
21 34 7
21 35 10
21 36 9
21 37 4
21 38 8
21 39 7
21 40 7
21 41 9
21 42 4
21 43 7
21 44 8
21 45 8
21 46 8
21 47 8
22 23 8
22 24 8
22 25 7
22 26 8
22 27 7
22 28 9
22 29 8
22 30 9
22 31 8
22 32 7
22 33 10
22 34 9
22 35 8
22 36 7
22 37 8
22 38 5
22 39 7
22 40 7
22 41 5
22 42 8
22 43 6
22 44 8
22 45 7
22 46 8
22 47 5
23 24 8
23 25 2
23 26 2
23 27 4
23 28 7
23 29 6
23 30 7
23 31 7
23 32 5
23 33 4
23 34 6
23 35 5
23 36 6
23 37 6
23 38 8
23 39 5
23 40 6
23 41 3
23 42 7
23 43 5
23 44 5
23 45 7
23 46 6
23 47 4
24 25 8
24 26 9
24 27 4
24 28 4
24 29 2
24 30 7
24 31 7
24 32 4
24 33 7
24 34 7
24 35 7
24 36 7
24 37 6
24 38 7
24 39 9
24 40 9
24 41 7
24 42 2
24 43 9
24 44 7
24 45 5
24 46 6
24 47 6
25 26 4
25 27 6
25 28 7
25 29 8
25 30 7
25 31 5
25 32 4
25 33 6
25 34 8
25 35 3
25 36 4
25 37 4
25 38 8
25 39 6
25 40 8
25 41 5
25 42 6
25 43 7
25 44 3
25 45 6
25 46 8
25 47 2
26 27 5
26 28 8
26 29 7
26 30 5
26 31 7
26 32 7
26 33 6
26 34 4
26 35 7
26 36 7
26 37 8
26 38 6
26 39 7
26 40 6
26 41 5
26 42 7
26 43 7
26 44 5
26 45 6
26 46 4
26 47 6
27 28 4
27 29 2
27 30 6
27 31 9
27 32 4
27 33 4
27 34 8
27 35 7
27 36 6
27 37 9
27 38 6
27 39 8
27 40 7
27 41 6
27 42 6
27 43 8
27 44 8
27 45 6
27 46 5
27 47 6
28 29 2
28 30 9
28 31 8
28 32 3
28 33 7
28 34 7
28 35 7
28 36 6
28 37 9
28 38 7
28 39 8
28 40 9
28 41 6
28 42 5
28 43 8
28 44 8
28 45 5
28 46 8
28 47 5
29 30 8
29 31 9
29 32 5
29 33 6
29 34 9
29 35 5
29 36 5
29 37 8
29 38 5
29 39 7
29 40 8
29 41 5
29 42 4
29 43 7
29 44 7
29 45 7
29 46 7
29 47 7
30 31 9
30 32 7
30 33 6
30 34 6
30 35 6
30 36 3
30 37 8
30 38 6
30 39 5
30 40 2
30 41 5
30 42 8
30 43 7
30 44 6
30 45 5
30 46 5
30 47 9
31 32 5
31 33 9
31 34 8
31 35 8
31 36 8
31 37 5
31 38 7
31 39 5
31 40 7
31 41 4
31 42 7
31 43 2
31 44 6
31 45 6
31 46 7
31 47 3
32 33 6
32 34 4
32 35 4
32 36 5
32 37 6
32 38 7
32 39 5
32 40 8
32 41 7
32 42 2
32 43 6
32 44 5
32 45 2
32 46 7
32 47 2
33 34 8
33 35 9
33 36 9
33 37 9
33 38 5
33 39 9
33 40 4
33 41 7
33 42 5
33 43 9
33 44 9
33 45 7
33 46 6
33 47 8
34 35 8
34 36 5
34 37 7
34 38 8
34 39 9
34 40 4
34 41 8
34 42 6
34 43 6
34 44 6
34 45 2
34 46 8
34 47 6
35 36 7
35 37 7
35 38 9
35 39 3
35 40 6
35 41 5
35 42 6
35 43 6
35 44 6
35 45 6
35 46 8
35 47 5
36 37 8
36 38 8
36 39 6
36 40 5
36 41 4
36 42 7
36 43 6
36 44 6
36 45 7
36 46 7
36 47 6
37 38 8
37 39 6
37 40 7
37 41 5
37 42 4
37 43 3
37 44 7
37 45 7
37 46 8
37 47 6
38 39 7
38 40 8
38 41 5
38 42 5
38 43 7
38 44 6
38 45 6
38 46 6
38 47 6
39 40 6
39 41 2
39 42 7
39 43 3
39 44 6
39 45 7
39 46 5
39 47 7
40 41 7
40 42 7
40 43 9
40 44 6
40 45 6
40 46 6
40 47 9
41 42 8
41 43 2
41 44 7
41 45 6
41 46 7
41 47 6
42 43 7
42 44 5
42 45 4
42 46 7
42 47 4
43 44 8
43 45 4
43 46 8
43 47 5
44 45 4
44 46 8
44 47 3
45 46 8
45 47 4
46 47 9
